Tag,Datum,Zeit,Home,Away,Resultat,Drittel,OT/SO,Status,Versch.,Stadion,Zus.,TV/Online,Id,Liga,Region,Phase,SVS_Home,SVS_Away,
Di,09/09/2025,19:45:00,HC Ambri-Piotta,EHC Kloten,02:01, 0:0|1:1|1:0,,Ende,FALSE,"Gottardo Arena, 6775 Ambri TI",6149,MYSPORTS,2.02611E+13,NL,CH,Regular Season,94.12,93.55,
Di,09/09/2025,19:45:00,HC Davos,Lausanne HC,04:01, 0:0|1:0|3:1,,Ende,FALSE,"zondacrypto-Arena, 7270 Davos-Platz GR",3696,MYSPORTS,2.02611E+13,NL,CH,Regular Season,95.65,85.71,
Di,09/09/2025,19:45:00,Fribourg-Gottéron,HC Lugano,03:02, 1:0|0:1|1:1|1:0,OT,Ende,FALSE,"BCF Arena, 1700 Fribourg FR",9280,"MYSPORTS,TELETICINO",2.02611E+13,NL,CH,Regular Season,92,90,
Di,09/09/2025,19:45:00,Genève-Servette HC,HC Ajoie,05:03, 0:1|2:0|3:2,,Ende,FALSE,"Les Vernets, 1227 Les Acacias GE",6003,MYSPORTS,2.02611E+13,NL,CH,Regular Season,88,90.24,
Di,09/09/2025,19:45:00,SC Rapperswil-Jona Lakers,SCL Tigers,05:01, 2:0|2:0|1:1,,Ende,FALSE,"St.Galler Kantonalbank Arena, 8640 Rapperswil SG",4293,MYSPORTS,2.02611E+13,NL,CH,Regular Season,95.83,89.13,
Di,09/09/2025,19:45:00,ZSC Lions,EHC Biel-Bienne,04:03, 0:1|1:0|3:2,,Ende,FALSE,"Swiss Life Arena, 8048 Zürich ZH",10152,"MYSPORTS,LEMANBLEU,LATELE,TELEB",2.02611E+13,NL,CH,Regular Season,85.71,85.71,
Di,09/09/2025,19:45:00,EV Zug,SC Bern,03:00, 2:0|0:0|1:0,,Ende,FALSE,"OYM hall, 6303 Zug",7073,MYSPORTS,2.02611E+13,NL,CH,Regular Season,100,88.89,
Do,11/09/2025,20:00:00,EHC Biel-Bienne,HC Davos,01:04, 1:1|0:2|0:1,,Ende,FALSE,"Tissot Arena, 2504 Biel/Bienne BE",5705,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,81.25,96.97,
Fr,12/09/2025,19:45:00,HC Ajoie,ZSC Lions,00:04, 0:1|0:3|0:0,,Ende,FALSE,"Raiffeisen Arena, 2900 Porrentruy JU",3963,MYSPORTS,2.02611E+13,NL,CH,Regular Season,89.47,100,
Fr,12/09/2025,19:45:00,SC Bern,Genève-Servette HC,02:01, 1:0|0:1|0:0|1:0,SO,Ende,FALSE,"PostFinance Arena, 3014 Bern BE",14523,MYSPORTS,2.02611E+13,NL,CH,Regular Season,96.77,96.67,
Fr,12/09/2025,19:45:00,EHC Kloten,SC Rapperswil-Jona Lakers,05:03, 0:2|0:1|5:0,,Ende,FALSE,"SWISS Arena, 8302 Kloten ZH",5090,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90.91,87.5,
